,Club,Shirt Sales (Units),Total Revenue
1,Manchester United,2.55m,£106.1m
2,Liverpool,2.45m,£94.3m
3,Chelsea,1.85m,£92.8m
4,Arsenal,975k,£77.3m
5,Manchester City,755k,£37.3m
6,Tottenham,629k,£31.9m
7,Everton,468k,£12.6m
8,Newcastle United,467k,£9.2m
9,West Ham United,420k,£3.6m
10,Leicester City,375k,£3.3m
11,Leeds United,274k,£3.01m
12,Crystal Palace,261k,£3.01m
13,Watford,248k,£2.6m
14,Aston Villa,245k,£2.4m
15,Southampton,228k,£2.1m
16,Fulham,185k,£1.7m
17,Nottingham Forrest,121k,£1.6m
18,Brighton & Hove Albion,119k,£1.5m
19,Wolverhampton Wanderers,177k,£1.4m
20,Norwich,102k,£1.2m
